1.0206434980026564 - 0.09566153132285658im	0.9266282849358658 - 0.042016609119405204im	0.832893987835623 + 0.00752047484837939im	0.807280883443246 + 0.04662649451048371im	0.8502377444986452 + 0.05392575066930155im	0.9005875181848887 + 0.03412372873890392im	0.8652753610512152 - 0.007727752692493784im	0.842199409274415 - 0.05583549869593204im	0.8532963699746867 - 0.09238155098763924im	0.9023205136823663 - 0.11036381926029679im	0.9744312024138059 - 0.11697195598154357im	0.9967344711274907 - 0.10536721591925252im	0.9997978519795069 - 0.06509822062570553im	0.991251814008817 - 0.01279563973646652im	0.9585265251931956 + 0.02868587314958496im	0.9427461112869792 + 0.05028294938857876im	0.9971073933374945 + 0.05755519834243863im	1.0534651831583144 + 0.06000506626159633im	1.093052195048865 + 0.06560405474505478im	1.1106302776426258 + 0.07966908971919158im	1.0986333612468724 + 0.09287925347704476im	1.0337074131616129 + 0.09867487839510847im	0.9445386903234981 + 0.09105010513539002im	0.9006697897517495 + 0.07527090301499183im	0.8849249917950042 + 0.05507519143911214im	0.8704401035284628 + 0.035599101410997654im	0.8956052778705388 + 0.02343218257142443im	0.9488970746697364 + 0.019691933814163284im	1.0011420604722534 + 0.01960893623728192im	1.0483153357162767 + 0.023225465360345816im	1.0569854478367662 + 0.02513331044927066im	1.0466020153317144 + 0.02254851537315478im	0.9952331148011319 + 0.01685637520526498im	0.9382029140916717 + 0.010543515895629348im	0.9022888362332712 + 0.005219480938237007im	0.8871455356934244 + 0.00024168816191428357im	0.9086470794476575 - 0.007595950691659928im	0.9185672920009251 - 0.015502432158204188im	0.9483308832606938 - 0.02728405145182567im	0.9550684602851979 - 0.03485909049667192im	0.9567058885104827 - 0.044831333844438444im	0.9348733590886767 - 0.048994085066934485im	0.899102274027534 - 0.056866740732372266im	0.8415766785838423 - 0.06063784122856408im	0.8120889517917564 - 0.06749968910048755im	0.7975228847762044 - 0.07381301141440173im	0.8248415780227047 - 0.07946165147284659im	0.8385287091098214 - 0.08680724209851332im	0.8580696850650249 - 0.09029269487673068im	0.8667716571044025 - 0.09146135650845104im	0.8784692081642177 - 0.09247515230259515im	0.8789630634054308 - 0.09065740784386787im	0.8826172041084535 - 0.08646196867139468im	0.8842683217369609 - 0.08552396918520723im	0.9001181881000908 - 0.08265611498746825im	0.9518513166380907 - 0.08073923285634818im	0.9784100667565839 - 0.07409139214868327im	1.0075498268180099 - 0.06660767539195983im	1.011615712719234 - 0.05520644711408106im	1.0137867939320007 - 0.044246070436820294im	0.9924763868957104 - 0.03241384533788729im	0.9922676384803407 - 0.022296482046321977im	0.9948931250425912 - 0.009726843337781956im	0.9903791822208308 - 0.0028284022289588174im	0.9975769799005346 - 0.00087380417433852im	0.9721644773997308 - 0.006632325763826911im	0.9593995826288186 - 0.025262114392407074im	0.9476463786754887 - 0.050416388780797114im	0.9372709866619237 - 0.08187111453350523im	0.966182680273772 - 0.11062918205829092im	0.9938194285788059 - 0.12729962351957458im	0.9872361263453452 - 0.13210286236907617im	1.013558411241182 - 0.11859167805641233im	1.0093553095981753 - 0.09606181593126921im	0.9861660326905226 - 0.07256846324786792im	1.0086265728024821 - 0.04537993268226742im	1.0128167535389867 - 0.015529426319019045im	0.997509989728559 + 0.013624519381216386im	1.0061358334078525 + 0.04154446784797767im	1.026506787988999 + 0.06379586490385791im	0.9832115976281632 + 0.0816298697769398im	0.924555038502053 + 0.09967830730154734im	0.8856307775422245 + 0.10973246382060822im	0.8557944714647282 + 0.09573113538500004im	0.8519774811487286 + 0.055399575747416004im	0.9108077484393443 + 0.010757222804533293im	0.977156942165534 - 0.019074842068623175im	1.015333026942365 - 0.03204464277767767im	1.0066171681158977 - 0.03276986304844389im	0.9953941744686516 - 0.013908036713330277im	0.9876692862541375 + 0.011477149832019093im	0.9488005972331931 + 0.015045851831598563im	0.8973743865566429 - 0.011971637761193426im	0.8524319534548127 - 0.058287665486147784im	0.8679618814272104 - 0.10308746654393298im	0.9344395995609583 - 0.13830951360666446im	1.0100261539913926 - 0.16240816447989007im	1.040990125540516 - 0.18019949348672476im	1.0626099702159322 - 0.17952648777512767im	1.0679469699783346 - 0.14711351795861638im
0.9266282849358728 - 0.04201660911941969im	0.883371688267573 + 0.02552837947865271im	0.8466829839226402 + 0.0805261102512361im	0.8457671834601536 + 0.10363110269504265im	0.8444139219517015 + 0.08337683930790424im	0.8173998379327803 + 0.02911909148952862im	0.8004890040167498 - 0.03666582377177441im	0.8143417794386466 - 0.08921495209597118im	0.8626931347215443 - 0.12398415060881364im	0.968118698032269 - 0.1446850340220155im	1.0023216118235305 - 0.1483246188606016im	0.9782810213928881 - 0.12422400728525895im	0.9786615582858826 - 0.07577560232704811im	0.9663170715281827 - 0.02445038400565968im	0.9524733751896 + 0.008225718104684997im	1.0153994886404938 + 0.017670261319520906im	1.1042206598446243 + 0.021916003610767783im	1.1699874489919149 + 0.033424502814019645im	1.1673816874219323 + 0.052618700597473825im	1.0978101619673326 + 0.07478372955878526im	1.0407078848312339 + 0.0999774665348989im	1.001254638309986 + 0.12294229589494657im	0.9442113244315695 + 0.13443033527000914im	0.91952272862241 + 0.13385365083305623im	0.9392437468431907 + 0.12294940192629987im	0.9344411632332607 + 0.10864638521404657im	0.9455023266934639 + 0.0944745806750249im	0.9315300872833351 + 0.08863816967390326im	0.9470573900048643 + 0.08376703633661825im	0.9704975546265134 + 0.08131774559762579im	1.0031152359814872 + 0.0766233392752155im	0.9944501177123531 + 0.06329305348966094im	0.9932025540571221 + 0.042927529175456405im	0.9897128502967917 + 0.02174160208739811im	0.9593569771626046 + 0.0028454412519570557im	0.9487114169810085 - 0.010191057148808837im	0.9443680369129774 - 0.02027033089126809im	0.927322183937085 - 0.026565519093055122im	0.9188338060161666 - 0.030255722792371025im	0.913681532410331 - 0.03383361820532776im	0.9113143021156427 - 0.03899399193437807im	0.8861542524966 - 0.042901056193780915im	0.8679865220472579 - 0.04809524698667779im	0.8247587284308403 - 0.05616231782831932im	0.8177638232802965 - 0.0625023971118413im	0.7943056092734585 - 0.06982183803979077im	0.8064263919956524 - 0.07744003547864299im	0.8367633365295183 - 0.08578143416278063im	0.8455918763975693 - 0.09128193322581807im	0.8467470580481088 - 0.09067686090721928im	0.8391543877318303 - 0.08893930240640313im	0.8394868798492178 - 0.08372500570870091im	0.8295144540338966 - 0.07492872330691558im	0.8571408970158013 - 0.06829530152577096im	0.8587607804417383 - 0.06254433427234386im	0.9145204982440819 - 0.057890397232900896im	0.957082864775381 - 0.050119895750554457im	0.9958338056425622 - 0.042294378294484465im	1.0218293292979812 - 0.033883551531427275im	1.0545610922084419 - 0.027293033634972545im	1.050661826791642 - 0.02039510720900698im	1.0379577373619457 - 0.019970924319424717im	1.0279548436668597 - 0.019131920059066932im	1.0086631709383391 - 0.021455542878782905im	0.9883550970881584 - 0.029848780676826166im	0.9743983851166046 - 0.04070926009072464im	0.9466448640643204 - 0.06272643452832263im	0.9434046961885326 - 0.09012325880426408im	0.945032901630046 - 0.11925413244635921im	0.9553382849362624 - 0.14403118522181718im	0.9965295381508038 - 0.15580377511138369im	1.0250552357390512 - 0.15541356453205732im	1.047062652897151 - 0.14467559841183575im	1.068012660850724 - 0.12525288734465415im	1.0373632606473466 - 0.10061649984500091im	0.9775364555297986 - 0.0764864967909032im	0.9657602083978688 - 0.054024109385056994im	0.9556401083490261 - 0.028694309147158016im	0.9214778805863153 + 3.753181991236136e-5im	0.9029185834817313 + 0.03203784138030659im	0.8869532003188803 + 0.06499847073959268im	0.8735970808746879 + 0.09241897010126662im	0.8596339123244722 + 0.10779183672447497im	0.854024959515932 + 0.09846821600943444im	0.8620859775939831 + 0.06784717004051562im	0.8996322003324936 + 0.032636254437062376im	0.9639313935107822 + 0.0159875613672285im	1.00129334256781 + 0.016067681959580082im	1.0010238047479199 + 0.022062170110151293im	1.015677708167373 + 0.029869272542285566im	1.0284302492231487 + 0.02853424570588915im	0.9970609882624144 + 0.0012490890205982435im	0.9259436550667178 - 0.053309188591507545im	0.8916413833725886 - 0.11579649034523123im	0.9535892288614486 - 0.16749698395526263im	1.0275428970122376 - 0.20334941549724683im	1.0589418682889602 - 0.2233464254735222im	1.0669831320302006 - 0.21952610255725263im	1.0409901226203537 - 0.180199494054736im	0.9891227794011618 - 0.11542508246215945im
0.8328939878356387 + 0.007520474848361499im	0.846682983922663 + 0.08052611025122133im	0.8976563355351895 + 0.11882475633764798im	0.8898966735278209 + 0.11324997013888304im	0.8095810532977239 + 0.06578400917198143im	0.7518894334313483 - 0.0010353805945780036im	0.7601835159706234 - 0.06623919277840407im	0.8201870035617214 - 0.11803204823361083im	0.9380446948687058 - 0.15671014050086557im	1.0117032905263554 - 0.1756062963568097im	1.0092894029126551 - 0.1608814327509793im	0.9855028863062847 - 0.1164367095761011im	0.9505740943081696 - 0.06639708552615302im	0.9511942580008478 - 0.0327383814378571im	0.998294884146457 - 0.02017320527069567im	1.0736623537944259 - 0.01944805422697834im	1.161099389195495 - 0.013494378194478943im	1.1979794434287456 + 0.007313362764967569im	1.1290581226663658 + 0.03831663566120263im	1.0368977510071318 + 0.06898502699574278im	0.9766786031320294 + 0.10078626991313751im	0.961932376599306 + 0.1312692928962542im	0.9831823895893836 + 0.15542867827457893im	0.9866020086274502 + 0.16714461986220364im	0.9881718427889356 + 0.16806166929566668im	1.0181456363039905 + 0.1584172546786194im	1.001678950422711 + 0.14184441917044927im	0.9755674448558798 + 0.1283558583717386im	0.9335800413315568 + 0.11894884829988765im	0.9099486837912775 + 0.10854627144736352im	0.9184843527266996 + 0.09617873212726152im	0.9390652945437425 + 0.07917264726924879im	0.9642377166591936 + 0.0570937692029717im	1.0022626081699875 + 0.032939585053667626im	1.0294346440472133 + 0.01123955573505878im	1.0364352064760312 - 0.0053083123057778535im	1.0279925107457177 - 0.013869043973022466im	0.9954838136671322 - 0.02005371205042278im	0.9547535918697942 - 0.021473793142644606im	0.9346133061516897 - 0.023098781539082385im	0.898333706257369 - 0.026145211419917505im	0.8838366476947013 - 0.030648181661777678im	0.8553484678477676 - 0.03686063906682742im	0.8385182775280458 - 0.04559279086605767im	0.8209913965336246 - 0.05585354116076573im	0.7997171053353729 - 0.06701328824385556im	0.8073533143216359 - 0.07607646572774755im	0.8143056669943688 - 0.08510106996775921im	0.81242981205661 - 0.09219172531159087im	0.8209692896906529 - 0.09670410566470312im	0.7899471803647417 - 0.09430852758770243im	0.7615831466376792 - 0.08833248396231656im	0.7324177085405448 - 0.0800176303776046im	0.7500942994326784 - 0.07048597109429502im	0.7745476851153221 - 0.06145778156756494im	0.816881764579176 - 0.050762805928133224im	0.8750239960991183 - 0.03904364050512222im	0.9137007885742123 - 0.026349592854517247im	0.9521063910378038 - 0.014782794937930343im	0.9817713417013987 - 0.007052347512857256im	0.999035342577764 - 0.0006238236034342948im	0.9900913800536545 - 0.0005508690524621527im	0.975067995177754 - 0.009235301997575888im	0.9680663736621355 - 0.01856811736782868im	0.9584738385590763 - 0.03554410778688447im	0.9731259601099951 - 0.05924356525312182im	0.9714429852792706 - 0.08439008613448339im	0.9851319570746424 - 0.11182624055481302im	1.014818154489372 - 0.13095944940494791im	1.0397897509767593 - 0.14416086579447887im	1.055885601268748 - 0.150259490334809im	1.0735081813965606 - 0.14514418117567526im	1.049588127856899 - 0.13341818244831008im	1.04209805647097 - 0.1203780439160308im	1.0045980795218195 - 0.10580762553281174im	0.9234571948951151 - 0.09408631838228601im	0.8660192239090898 - 0.08522502758078151im	0.8525076852614498 - 0.07191636102586896im	0.8418147867287711 - 0.048104804041014144im	0.8190963080883664 - 0.011556224830601116im	0.8137639006352473 + 0.03299571480999613im	0.8282914505327381 + 0.0713056570508697im	0.8443580815752852 + 0.08809870873639354im	0.891306104031062 + 0.08999172738136416im	0.9447561585557629 + 0.0827229823171448im	0.9691141853799394 + 0.07258047185056671im	0.9756502083910676 + 0.06808839847272699im	0.9588253200573787 + 0.06442548141943832im	0.95706771637562 + 0.054307822485409975im	0.981756713478562 + 0.03394455988752763im	1.014793229924405 + 0.0020182075902002985im	1.0354784346173607 - 0.04115366728145275im	1.0236379564127254 - 0.09267457304843837im	1.0380896511844253 - 0.1461029429201096im	1.0641839173769545 - 0.19300836274418745im	1.0672317780970295 - 0.23069771755140497im	1.069187628074124 - 0.24679919008811724im	1.0589418662292382 - 0.22334642593299645im	1.0100261508788402 - 0.1624081651289853im	0.8965744582144366 - 0.07887484697069733im
0.8072808834432372 + 0.04662649451048137im	0.8457671834601648 + 0.10363110269502204im	0.8898966735278265 + 0.11324997013886624im	0.8544425466985747 + 0.07815621538507822im	0.788996991644722 + 0.02464092444055066im	0.7504574331309608 - 0.035468373377984384im	0.7775807662680999 - 0.0980548248733066im	0.9003722027997435 - 0.15372816918077867im	0.987265797663121 - 0.18455433403419375im	0.992095890099794 - 0.1785586576283516im	0.9881720871429125 - 0.14252170263074196im	0.9745158299520715 - 0.09696976265236174im	0.968077295413346 - 0.0647532877397631im	1.0056203447302736 - 0.048187108780619756im	1.0613544311621905 - 0.0421981695817915im	1.1221826231541236 - 0.04226848375025041im	1.1395825805812874 - 0.03785153500043935im	1.062239506688649 - 0.020416721797174135im	0.9791285680379721 + 0.011078694700860262im	0.9585212897195685 + 0.05171432839477112im	0.9652325941197035 + 0.09324207607942656im	0.9939256328335956 + 0.12788463648860796im	1.0362370079554102 + 0.15507654314620714im	1.0403148112266265 + 0.1703507623273096im	1.0288106236044425 + 0.1740374509806043im	1.0259071046503487 + 0.16653770987573407im	1.0295928460351051 + 0.15182077347995454im	1.0241437567366063 + 0.13392118699226352im	0.9952127665386679 + 0.11593154824894823im	0.9712670031578768 + 0.0986286386733335im	0.9555480212171966 + 0.08086042517032699im	0.9504712600148192 + 0.06648419343376627im	0.9680161712471418 + 0.04891914496129784im	0.9934662134917305 + 0.033793613957239295im	1.0107324242961733 + 0.021107772395869657im	1.0206193318440249 + 0.012800315343035008im	1.0173243120004172 + 0.007790679327966991im	1.0156749915744974 + 0.004035644911684015im	0.995552721764881 + 0.0024818844955116475im	0.9550443130660629 - 0.0006040852629398046im	0.8974834712361125 - 0.0025194000167723606im	0.8774970399012266 - 0.0057649319424564836im	0.827047694504593 - 0.012908491884057556im	0.8063103642566255 - 0.022322566233735405im	0.7790993908095839 - 0.034124662924365876im	0.7744703054792972 - 0.04849789069080374im	0.7751178534311377 - 0.0634620330770398im	0.7780476926679415 - 0.07742266772791567im	0.785343445198832 - 0.0874355691691763im	0.7822482299983302 - 0.09695997085968056im	0.7593483099561842 - 0.10067784861764037im	0.7235137350058873 - 0.099547410118211im	0.70077053327667 - 0.09752380327997712im	0.6787801307609581 - 0.08932613862649147im	0.712935957715971 - 0.07797270661343488im	0.7286395926272954 - 0.06571238957486983im	0.7655230989443365 - 0.047096047170150125im	0.8046101297309204 - 0.02633243516289875im	0.8438919355602716 - 0.0050169101267612684im	0.8754959421513605 + 0.013870997770244422im	0.9136791497348657 + 0.02578980962116992im	0.9314986016803473 + 0.034150156970664106im	0.9150773823421713 + 0.02951828113210146im	0.916008894573777 + 0.018480335451242398im	0.9371544811179294 + 0.0008422156588339136im	0.971706594463753 - 0.028569843230067775im	0.986850280225023 - 0.05676654539791128im	1.0225834347558858 - 0.08267887372887912im	1.0380529251687691 - 0.10186157395657301im	1.059598036584594 - 0.11045813710363396im	1.059024841687508 - 0.11366005195759156im	1.0384047550015538 - 0.11142091527978229im	1.0047712973570475 - 0.11043003515852474im	0.945260232013262 - 0.11301883955969794im	0.9098428934469577 - 0.11584108115750799im	0.8913874206347192 - 0.11767605719842605im	0.8286333157222936 - 0.11738352829812673im	0.8015884777981104 - 0.11229221948183471im	0.8139926588794076 - 0.0873954630651525im	0.808966334328582 - 0.04241651069355523im	0.8158038235564548 + 0.009959953219849584im	0.8561149707879268 + 0.05549753200654018im	0.8935947554445077 + 0.08069419815060776im	0.9414366749026906 + 0.08735082369084111im	0.994057326270975 + 0.08970890057637475im	1.0105995045392149 + 0.09378092498316239im	0.9516901565989923 + 0.09205944254215882im	0.910202395532301 + 0.0798105540651627im	0.9435246160038947 + 0.05547506145357132im	0.9805453377222941 + 0.01726961439693093im	1.0051537337153094 - 0.03155262152252965im	1.050117588515221 - 0.07768279956907248im	1.1140627459446177 - 0.11401496846575158im	1.154465581935761 - 0.14884673490421618im	1.1349315358072487 - 0.18940816800287266im	1.0802302225637268 - 0.22455656677463537im	1.0672317780744116 - 0.23069771805914852im	1.027542896193315 - 0.20334941602899187im	0.9344395989818648 - 0.1383095137260327im	0.842599620589103 - 0.04534010515056369im
0.850237744498628 + 0.053925750669325465im	0.8444139219516803 + 0.08337683930789622im	0.8095810532977274 + 0.06578400917195756im	0.7889969916447326 + 0.024640924440532015im	0.7834255028115148 - 0.02073814125086426im	0.7866078675682197 - 0.07547301447081417im	0.8848271050578964 - 0.13616820457277223im	0.9750185179540649 - 0.1794673421048564im	0.9865360620692603 - 0.18136157135837466im	0.9621750824143384 - 0.15107584428093762im	0.9558976800735293 - 0.1101728748547664im	0.9869570277460574 - 0.08355503604631016im	1.0369631004452715 - 0.07151087946784788im	1.0751518958338382 - 0.06352756962169352im	1.100170842554194 - 0.05889961537269091im	1.0995981489501048 - 0.05543154776693747im	1.0056943040634583 - 0.05057415983319152im	0.8973626847799329 - 0.039525370393393724im	0.8771795654027871 - 0.012655634523573623im	0.9122845091641023 + 0.029009899048880645im	0.9601975157270325 + 0.07154225007945954im	1.0136202006251507 + 0.1045213998084576im	1.0232774383899648 + 0.12640306367354973im	1.0154289897182516 + 0.13863805828075793im	1.0202695729959026 + 0.1420039021780931im	0.997055098080741 + 0.1384411622004716im	1.0103202545930259 + 0.1266425241858971im	1.0294457061916895 + 0.10605825748805783im	1.0397452373690441 + 0.08667791459225764im	1.0313714318302043 + 0.07234783066459845im	1.0066165717936526 + 0.06210875620647206im	0.9876409891836447 + 0.05582606355768431im	0.9758388762101624 + 0.05168257583224941im	0.9740256814808282 + 0.0493760597474756im	0.9764406176419861 + 0.044984989543643834im	0.9797202247114042 + 0.04016607771663839im	0.9700961612508562 + 0.03784789969730839im	0.9688785764431127 + 0.034777113730738114im	0.9622240541765585 + 0.02924026011078373im	0.9314570131347922 + 0.022355240790807737im	0.8898383902439398 + 0.01564042839879046im	0.8625138772885402 + 0.013268729650412089im	0.830609036776775 + 0.004181817698319558im	0.8049534213358415 - 0.003632576061186882im	0.7964387119719792 - 0.015233840433819137im	0.7780072491696685 - 0.029789583605040984im	0.7840142617599888 - 0.04515796990385979im	0.7897682413086661 - 0.06043353056127349im	0.7896178873801919 - 0.07415192251297077im	0.7779993853236247 - 0.08426379001212882im	0.7699777830194067 - 0.09182125276606928im	0.7603890898295719 - 0.09390038405784071im	0.755862072819709 - 0.09230246467099991im	0.731899545755914 - 0.08561597543493614im	0.741818959963581 - 0.07433547127220448im	0.7531235837554305 - 0.06119178521643866im	0.7754219861560443 - 0.04256639372857781im	0.8085992255503934 - 0.022539872873820973im	0.8194083983376886 + 0.0009311792959793802im	0.8513347537544248 + 0.026564383014568045im	0.8581475147456018 + 0.04995204273979668im	0.8519036084082112 + 0.07126307429215183im	0.8884912355600808 + 0.08200771228061991im	0.8698646263800327 + 0.0789698813709935im	0.9059468923923732 + 0.06838861679300676im	0.9511401448876913 + 0.04635257327650692im	0.9840054563675706 + 0.011595396829955145im	1.048272018667462 - 0.019211286854462606im	1.0544426979922201 - 0.043935956421315765im	1.042797051506668 - 0.06061975480004953im	1.0232096294273405 - 0.07087239927747536im	0.9758664605705731 - 0.08218916482163247im	0.9402490126829783 - 0.09310990366572686im	0.8709951309329561 - 0.10599660088798392im	0.8258858563421049 - 0.12262791250340534im	0.8241436832139892 - 0.1351096044874366im	0.830713450478385 - 0.137313742864725im	0.8407919510490323 - 0.1272936377764949im	0.8273744092125908 - 0.09644265108109037im	0.8301116234459203 - 0.04301734411825982im	0.8611051893716251 + 0.010534870627150668im	0.9061965540340088 + 0.05220157848077534im	0.9647929128356603 + 0.07436765603007159im	0.9996528240434255 + 0.07584075379579226im	1.0094087191952978 + 0.07284592042170783im	0.9733698494711839 + 0.0717928687803861im	0.8996357670151216 + 0.06809584642622761im	0.9068641884697867 + 0.0591915314840366im	0.981280058336167 + 0.03855536515063492im	1.02158783994941 + 0.001832326760234087im	1.029842066121079 - 0.04836043778624201im	1.0614186890714006 - 0.0918013790849568im	1.1259609555317274 - 0.11646158944780932im	1.1699637945321226 - 0.13663182044484343im	1.1590819049582246 - 0.16653677646205675im	1.1349315376489146 - 0.18940816858550874im	1.0641839184970434 - 0.1930083634756928im	0.953589228266901 - 0.16749698437586247im	0.8679618814099707 - 0.10308746645941992im	0.8501760856744006 - 0.017056242118289166im
0.9005875181848644 + 0.03412372873895697im	0.8173998379327496 + 0.029119091489543544im	0.7518894334313273 - 0.0010353805945975715im	0.7504574331309596 - 0.035468373378017476im	0.7866078675682082 - 0.07547301447084019im	0.8891988102781498 - 0.12475681583435932im	0.9877076019402574 - 0.1639393321302047im	0.9920849811345723 - 0.17086078519662154im	0.9576080234835612 - 0.15114444179219072im	0.9523393131417082 - 0.1172519578819124im	0.9737294661477036 - 0.08752202785212446im	1.0190992583389484 - 0.07229105633705542im	1.100996481785119 - 0.06524402996305935im	1.1045876337853289 - 0.06717050531727478im	1.0540904923187426 - 0.07091357086304256im	0.9604785907420588 - 0.06534874132340482im	0.8600713223909243 - 0.05362402084606007im	0.8264580062043712 - 0.03607265399317213im	0.867050450108038 - 0.014649555543943033im	0.8916544323239435 + 0.005713408974731363im	0.9133095491456217 + 0.027339751896844407im	0.9213710544613662 + 0.04910945906918004im	0.9045887325049948 + 0.06823463214511723im	0.9201945241861323 + 0.08373179296819586im	0.9324120586359842 + 0.09456384148848963im	0.947930900418474 + 0.09674573958766952im	0.9713719715889869 + 0.0900661119107666im	0.986376462577421 + 0.07933562773035086im	0.9918117454398271 + 0.06903708207435826im	0.9831857819934927 + 0.061871515151699655im	0.9585102711125094 + 0.057370175929448604im	0.9501518806105277 + 0.05634241656356334im	0.9297921877009923 + 0.05738284313770389im	0.9309101858845965 + 0.057283928476464574im	0.9611969572834677 + 0.054255792659801946im	0.9648347670537741 + 0.04822074777203363im	0.9595263875095382 + 0.04417351929756251im	0.947110266151384 + 0.03996068217584795im	0.9229327269668338 + 0.03785571911589659im	0.9023126636698013 + 0.03379326436382559im	0.8797592219553295 + 0.030603386071947954im	0.8541124533340642 + 0.028597212397255677im	0.8493122236460976 + 0.022460507445672014im	0.8355764144210194 + 0.016145824050206013im	0.8454791376693013 + 0.00472984696320303im	0.845901926068079 - 0.010406324071122583im	0.8471377065285183 - 0.02392706916680599im	0.8517464814378117 - 0.03575191310784602im	0.8508439860662967 - 0.047764379730950664im	0.8554593576522728 - 0.054987088864164854im	0.8581212748895661 - 0.056932719375669405im	0.8590321456107937 - 0.05462669417798854im	0.8553395701054608 - 0.04834607963271684im	0.8549114332157564 - 0.03957576549331356im	0.8574022745531054 - 0.025953957264082478im	0.8598806239618582 - 0.010332064420657486im	0.8601633059017953 + 0.006077002295563079im	0.8953761874767474 + 0.022552111363318167im	0.8914026904861772 + 0.044152254317789554im	0.9054025976676714 + 0.06690662487776146im	0.9096484452871998 + 0.09095723436689125im	0.9119813203644564 + 0.11291986934984609im	0.9520816027138413 + 0.12596809767360093im	0.9381389626159521 + 0.1316418048246145im	0.9567456901561571 + 0.130605624339712im	0.9695259046707263 + 0.11304905792062792im	0.9619148820091762 + 0.08076403484175097im	0.9771753976282046 + 0.039297872090853905im	1.008901157518567 + 0.0029875491204747195im	0.9828764740943525 - 0.027002514304258117im	0.9314650959567982 - 0.04533237185133114im	0.9234390404591584 - 0.06191609546968266im	0.9027344846462377 - 0.07048100744861945im	0.8701729460197911 - 0.0808770500900752im	0.8361627143608725 - 0.09937742988795609im	0.8181346227440222 - 0.11638516152651641im	0.8480265237110204 - 0.1214275242244032im	0.8674538231094222 - 0.10732906856227625im	0.8625353042373881 - 0.07777672172669567im	0.8864773482986699 - 0.03437068914200656im	0.9190435846382519 + 0.010438440674966203im	0.9591553280300407 + 0.03790948600536854im	1.0013029886254678 + 0.043257495865626466im	1.0097095737790673 + 0.03797463853101742im	0.9927399022588004 + 0.03173634240168469im	0.9441542566897932 + 0.026909364656392674im	0.9122380773160138 + 0.022809465180703637im	0.9430321438786773 + 0.018790606919442537im	0.9967833848147426 + 0.008885399982284695im	1.0398174668642874 - 0.01593628886714419im	1.0544757113712133 - 0.05033947057006181im	1.0611256631064352 - 0.07922659262583462im	1.0796491315845727 - 0.09919716206189624im	1.1131885637103587 - 0.11880003904360042im	1.1699637967732783 - 0.1366318210118873im	1.154465583920921 - 0.14884673572663915im	1.0380896506330546 - 0.1461029436396009im	0.8916413817804587 - 0.11579649088210725im	0.8524319533972354 - 0.058287666083691826im	0.8861024862431387 + 0.0005873157023263782im
